iter	Logloss
0	0.6307550404
1	0.5899589856
2	0.5470115713
3	0.5121114658
4	0.4951648017
5	0.4670986761
6	0.4417075536
7	0.4259277958
8	0.4114013483
9	0.4007915225
10	0.3871228747
11	0.3790891383
12	0.370466563
13	0.3631712008
14	0.3582102155
15	0.3532603397
16	0.3479774968
17	0.3452898758
18	0.3393807711
19	0.3372895891
20	0.3346803003
21	0.3324120018
22	0.3294694833
23	0.3273980848
24	0.3244369697
25	0.3223834525
26	0.3189145902
27	0.317619283
28	0.3137644458
29	0.3134183901
30	0.308134578
31	0.3054611851
32	0.3045940025
33	0.3020386474
34	0.3004566494
35	0.2990144505
36	0.2973475209
37	0.295844155
38	0.2949981058
39	0.2937156966
40	0.2927874135
41	0.2917810996
42	0.2912055185
43	0.2905180585
44	0.2887680671
45	0.2879999347
46	0.2875249206
47	0.286368586
48	0.2858219324
49	0.2857042109
50	0.2846592238
51	0.2828418164
52	0.2822635264
53	0.2809683732
54	0.2784678365
55	0.2772253133
56	0.2758082388
57	0.2748336
58	0.2738041121
59	0.2719773136
60	0.2713945469
61	0.2707124573
62	0.2693570765
63	0.2693183854
64	0.2692272403
65	0.2671382206
66	0.2648120253
67	0.2635776502
68	0.2623910579
69	0.2609168443
70	0.2587405461
71	0.2565548425
72	0.2559738061
73	0.2557130621
74	0.2538707509
75	0.2530246299
76	0.2525036839
77	0.2515574765
78	0.2506297859
79	0.2497007505
80	0.2491374175
81	0.2479282223
82	0.2467321372
83	0.2456311121
84	0.2450223189
85	0.2445374875
86	0.2435988954
87	0.2432511483
88	0.241934898
89	0.2416204645
90	0.2403078488
91	0.2400458074
92	0.2390719292
93	0.2386319002
94	0.2377144178
95	0.2372559928
96	0.2365196984
97	0.236345162
98	0.2362368885
99	0.2353259329
